endpoint_id,timestamp
"(-0.176780000,-0.176780000)",2026-03-31T15:24:22.029599
"(-17678.000000000,-17678.000000000)",2026-03-31T15:37:46.988125
"(-17678.000000000,17678.000000000)",2026-03-31T15:38:14.300398
"(-7071.000000000,-7071.000000000)",2026-03-31T15:38:39.729900
"(-7071.000000000,7071.000000000)",2026-03-31T15:39:06.590840
"(-3536.000000000,-3535.000000000)",2026-03-31T15:39:33.667062
"(-3536.000000000,3535.000000000)",2026-03-31T15:40:02.078335
"(-707.000000000,-707.000000000)",2026-03-31T15:40:30.544637
"(-707.000000000,707.000000000)",2026-03-31T15:41:00.544774
"(-71.000000000,-71.000000000)",2026-03-31T15:41:29.728268
"(-71.000000000,71.000000000)",2026-03-31T15:41:58.462975
"(0.000000000,0.000000000)",2026-03-31T19:53:07.613330
"(0.000000000,100.000000000)",2026-03-31T19:55:04.470136
"(0.000000000,141.000000000)",2026-03-31T19:55:31.397189
"(0.000000000,200.000000000)",2026-03-31T19:55:58.699396
"(0.000000000,1000.000000000)",2026-03-31T19:57:54.361267
"(0.000000000,1414.000000000)",2026-03-31T19:58:20.898940
"(0.000000000,2000.000000000)",2026-03-31T19:58:47.411976
"(0.000000000,5000.000000000)",2026-03-31T20:00:50.282412
"(0.000000000,7071.000000000)",2026-03-31T20:01:14.198347
"(0.000000000,10000.000000000)",2026-03-31T20:06:06.926633
"(0.000000000,14142.000000000)",2026-03-31T20:06:30.865933
"(0.000000000,20000.000000000)",2026-03-31T20:07:02.307773
"(0.000000000,25000.000000000)",2026-03-31T20:09:01.618963
"(0.000000000,35355.000000000)",2026-03-31T20:09:26.008729
"(0.000000000,50000.000000000)",2026-03-31T20:09:48.660712
"(29.000000000,-71.000000000)",2026-03-31T20:10:16.858953
"(29.000000000,71.000000000)",2026-03-31T20:10:44.222833
"(59.000000000,0.000000000)",2026-03-31T20:11:14.018584
"(71.000000000,71.000000000)",2026-03-31T20:15:54.541335
"(100.000000000,0.000000000)",2026-03-31T20:24:18.898357
"(100.000000000,141.000000000)",2026-03-31T20:24:47.029140
"(129.000000000,-71.000000000)",2026-03-31T20:25:15.103682
"(141.000000000,141.000000000)",2026-03-31T20:25:44.085240
"(171.000000000,71.000000000)",2026-03-31T20:26:12.043343
"(200.000000000,0.000000000)",2026-03-31T20:26:41.254287
"(293.000000000,-707.000000000)",2026-03-31T20:27:08.400395
"(293.000000000,707.000000000)",2026-03-31T20:27:36.611338
"(586.000000000,0.000000000)",2026-03-31T20:28:04.616861
"(707.000000000,707.000000000)",2026-03-31T20:33:13.739764
"(1000.000000000,0.000000000)",2026-03-31T20:41:09.465558
"(1000.000000000,1414.000000000)",2026-03-31T20:41:34.236990
"(1293.000000000,-707.000000000)",2026-03-31T20:41:59.230269
"(1414.000000000,1414.000000000)",2026-03-31T20:42:25.653568
"(1464.000000000,-3535.000000000)",2026-03-31T20:42:51.163949
"(1464.000000000,3535.000000000)",2026-03-31T20:43:16.214201
"(1707.000000000,707.000000000)",2026-03-31T20:43:44.758517
"(2000.000000000,0.000000000)",2026-03-31T20:44:12.439948
"(2929.000000000,-7071.000000000)",2026-03-31T20:44:37.904695
"(2929.000000000,0.000000000)",2026-03-31T20:45:04.587438
"(2929.000000000,7071.000000000)",2026-03-31T20:45:29.672495
"(3536.000000000,3535.000000000)",2026-03-31T22:42:57.083884
"(5000.000000000,0.000000000)",2026-03-31T22:50:38.544463
"(5000.000000000,7071.000000000)",2026-03-31T22:51:03.885096
"(5858.000000000,0.000000000)",2026-03-31T22:51:30.028149
"(6464.000000000,-3535.000000000)",2026-03-31T22:51:55.696057
"(7071.000000000,7071.000000000)",2026-03-31T22:59:52.505470
"(7322.000000000,-17678.000000000)",2026-03-31T23:00:20.570044
"(7322.000000000,17678.000000000)",2026-03-31T23:00:46.679947
"(8535.000000000,3535.000000000)",2026-03-31T23:01:14.549105
"(10000.000000000,0.000000000)",2026-03-31T23:09:34.037064
"(10000.000000000,14142.000000000)",2026-03-31T23:10:00.767633
"(12929.000000000,-7071.000000000)",2026-03-31T23:10:29.527355
"(14142.000000000,14142.000000000)",2026-03-31T23:10:54.324801
"(14645.000000000,0.000000000)",2026-03-31T23:11:18.977433
"(17071.000000000,7071.000000000)",2026-03-31T23:11:42.741043
"(17678.000000000,17678.000000000)",2026-03-31T23:15:44.961504
"(20000.000000000,0.000000000)",2026-03-31T23:16:13.842570
"(25000.000000000,0.000000000)",2026-03-31T23:23:16.655319
"(25000.000000000,35355.000000000)",2026-03-31T23:23:30.011322
"(32322.000000000,-17678.000000000)",2026-03-31T23:23:53.199071
"(35355.000000000,35355.000000000)",2026-03-31T23:24:05.182558
"(42678.000000000,17678.000000000)",2026-03-31T23:24:19.516585
"(50000.000000000,0.000000000)",2026-03-31T23:24:37.464149
